Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Деревʼянко,Єлисей,Михайлович,Чоловіча,1950-06-17,Вчитель,селище Джанкой,"узвіз Тополиний, буд. 74 кв. 3, Новоукраїнка, 83618",898-56-74,viacheslavhavrysh@example.net
Хорішко,Олесь,Олександрович,Чоловіча,1969-08-16,Художник,місто Слов'янськ,"узвіз Каретний, буд. 358 кв. 741, Ірміно, 63749",043 549 08 84,irvanetsvitalii@example.com
Демʼянюк,Валентин,Сергійович,Чоловіча,1960-06-09,Професор,селище Самар,"провулок Путівна, буд. 36, Вільнянськ, 28749",+380 (37) 685-99-94,liliiaieresko@example.net
Ейбоженко,Станіслав,Богданович,Чоловіча,1955-08-11,Модельєр,місто Вишневе,"сквер Окружна, буд. 5, Джанкой, 74284",419 00 05,flavrenko@example.com
Ванченко,Опанас,Сергійович,Чоловіча,1984-02-27,Флорист,місто Звенигородка,"узвіз Бузковий 1-й, буд. 08, Рубіжне, 72208",079 568-86-26,demian47@example.com
Ващук,Валентин,Михайлович,Чоловіча,1980-05-31,Секретар,хутір Красноперекопськ,"площа Чорноморський 7-й, буд. 12 кв. 06, Керч, 53091",+380 30 546 35 97,htsushko@example.com
Тесленко,Трохим,Петрович,Чоловіча,1975-05-08,Науковець,місто Богодухів,"провулок Василя Симоненка, буд. 36, Білицьке, 78796",028 279-90-97,mariana53@example.com
Мазур,Ярослав,Олександрович,Чоловіча,1986-08-28,Епідеміолог,селище Лисичанськ,"вулиця Ювілейний 2-й, буд. 54, Костянтинівка, 83588",+380 73 947 34 08,makarchornovil@example.org
Засенко,Микита,Андрійович,Чоловіча,1993-08-15,Антрополог,селище Ясинувата,"парк Лиманчик 2-й Лінія 1-ша, буд. 8, Теребовля, 44300",531 43 99,zgzhytska@example.net
Базилевський,Юстим,Петрович,Чоловіча,1951-11-29,Кінолог,хутір Київ,"набережна Левкоєва, буд. 75 кв. 20, Канів, 36446",628 79 67,edatsenko@example.net
Захарченко,Богдан,Іванович,Чоловіча,1978-04-04,Мовознавець,хутір Богуслав,"узвіз Агрономічний, буд. 8, Канів, 11851",318-31-75,dziubadaryna@example.net
Яремчук,Валерій,Петрович,Чоловіча,1947-03-18,Стропальник,місто Боково-Хрустальне,"шосе Миколаївська дорога, буд. 8 кв. 72, Чорнобиль, 89073",+380 (67) 687-03-47,pylyp39@example.org
Жаліло,Пармен,Петрович,Чоловіча,1949-08-04,Флорист,хутір Старий Крим,"проспект Ніжинська, буд. 88, Борщів, 04908",061 593 51 24,rzinchenko@example.org
Ткаченко,Борислав,Михайлович,Чоловіча,1982-04-14,Менеджер,місто Вараш,"набережна Танкерна, буд. 035 кв. 03, Мелітополь, 27800",+380 05 283-81-14,rudykzorian@example.com
Баштан,Панас,Юрійович,Чоловіча,1946-10-30,Прокурор,хутір Отаманівка,"набережна Нафтовиків 1-й, буд. 3 кв. 8, Виноградів, 36942",+380 51 348-35-07,dalekseienko@example.net
Гавришкевич,Євген,Андрійович,Чоловіча,1944-03-29,Географ,селище Ланівці,"площа Кар’єрна, буд. 033, Хмільник, 29244",766-89-95,andrii42@example.net
Дубас,Левко,Олександрович,Чоловіча,1947-04-26,Співак,хутір Сокологірськ,"шосе Мазепи Івана, буд. 95 кв. 576, Овруч, 77249",+380 83 925 19 29,okhrimsahal@example.com
Авдєєнко,Марко,Юрійович,Чоловіча,1941-01-18,Ді-джей,хутір Тисмениця,"площа Ювілейний 2-й, буд. 92 кв. 728, Дніпрорудне, 42505",720-06-87,snizhana10@example.com
Цибуленко,Віталій,Дмитрович,Чоловіча,1998-07-04,Астрофізик,місто Верхньодніпровськ,"шосе Сергія Ейзенштейна, буд. 3, Тетіїв, 71515",400 53 36,kostiantynprokopovych@example.net
Масоха,Левко,Петрович,Чоловіча,1950-04-10,Менеджер,хутір Прилуки,"вулиця Деревообробний 5-й, буд. 62, Баранівка, 12224",+380 18 509-34-73,xhrechko@example.com
Єрмоленко,Яків,Олександрович,Чоловіча,1995-03-06,Підприємець,селище Балта,"узвіз 11-та ст. Великого Фонтану пляж, буд. 65 кв. 5, Ніжин, 95627",050 599 94 28,khomaturkalo@example.net
Червоненко,Кирило,Андрійович,Чоловіча,1961-10-29,Етнограф,селище Кам'янка (Черкаська область),"набережна Аркадійська, буд. 4, Кальміуське, 54136",012 376-00-95,andriiovychnataliia@example.com
Орлик,Аарон,Михайлович,Чоловіча,1982-05-06,Лікар,селище Чуднів,"провулок Локомотивний 1-й, буд. 44 кв. 4, Миронівка, 79654",+380 (99) 117-46-09,ihuz@example.org
Вишиваний,Юхим,Олександрович,Чоловіча,2000-12-20,Астронавт,селище Свалява,"шосе Рівності, буд. 01 кв. 611, Кам'янське, 01892",569-46-11,babiukvalentyna@example.com
Аврамчук,Едуард,Юрійович,Чоловіча,2008-02-19,Шериф,місто Вознесенськ,"провулок Бузковий 1-й, буд. 8 кв. 5, Надвірна, 58351",022 104-62-18,eduard28@example.org
Тягнибок,Лукʼян,Богданович,Чоловіча,1975-12-06,Гінеколог,селище Судак,"проспект Вінницька, буд. 02, Рубіжне, 62205",056 138-08-15,riabchenkoiaroslava@example.com
Шеремет,Азар,Сергійович,Чоловіча,1955-07-08,Паблік рилейшнз,селище Острог,"узвіз Давида Бурлюка, буд. 1 кв. 6, Зеленодольськ, 65880",539-41-78,bohuslavadevdiuk@example.org
Свистун,Роман,Андрійович,Чоловіча,1952-05-12,Кур'єр,місто Хирів,"парк Сумський, буд. 46 кв. 40, Сіверськ, 31900",758-59-24,iaroshievhen@example.com
Деркач,Борислав,Михайлович,Чоловіча,1961-08-31,Кінорежисер,селище Бережани,"шосе Костанді, буд. 399 кв. 5, Скалат, 74450",+380 38 936-84-78,tdavydenko@example.net
Яременко,Давид,Сергійович,Чоловіча,1941-12-12,Електромонтер,село Зміїв,"проспект Софіївська, буд. 2, Долинська, 80009",272 54 90,gkhorishko@example.com
Ващук,Іван,Дмитрович,Чоловіча,1961-11-28,Бізнесмен,селище Тульчин,"вулиця Чорноморський 10-й, буд. 169, Тернопіль, 96467",025 239 23 81,ielysavetashtokalo@example.org
Тягнибок,Панас,Сергійович,Чоловіча,1953-06-01,Складальник,місто Маріуполь,"набережна Юрія Єгорова, буд. 4 кв. 7, Лисичанськ, 22454",+380 (75) 156-38-93,artemdziuba@example.net
Носенко,Мирон,Іванович,Чоловіча,1995-03-31,М'ясник,хутір Борзна,"провулок Гайова, буд. 30 кв. 295, Богодухів, 07136",475 29 32,whuz@example.com
Сірко,Назар,Іванович,Чоловіча,1957-11-01,Хімік,селище Берегове,"набережна Трудовий, буд. 57 кв. 667, Щолкіне, 58290",540 39 52,xsomko@example.net
Саєнко,Валентин,Богданович,Чоловіча,1949-03-14,Письменник,хутір Ніжин,"вулиця Олексія Косяченко, буд. 115, Погребище, 59614",042-45-50,bohdan68@example.net
Тимчук,Микита,Сергійович,Чоловіча,1997-11-12,Дизайнер,селище Брянка,"провулок Нова, буд. 340 кв. 83, Білопілля, 81707",039 142-21-71,ruslanvakulenko@example.net
Гоголь,Дан,Андрійович,Чоловіча,1959-12-05,Бібліограф,хутір Славута,"вулиця Складська, буд. 21 кв. 6, Жовква, 35478",047-42-28,nudovychenko@example.com
Філіпенко,Ілля,Сергійович,Чоловіча,1962-07-03,Бізнесмен,селище Тячів,"проспект Бодаревського, буд. 01, Монастирище, 48863",013 955 21 54,edyta49@example.com
Рак,Федір,Іванович,Чоловіча,1985-09-02,Маркетолог,село Красилів,"шосе Аеропортівський 1-й, буд. 002 кв. 3, Подільськ, 15570",+380 09 790-66-78,iarynakhrystych@example.com
Бабариченко,Зиновій,Володимирович,Чоловіча,1972-12-29,Ді-джей,селище Іловайськ,"провулок Тепличний 2-й, буд. 9, Чоп, 53542",058 362 90 64,nehodamyroslav@example.net
Годунок,Петро,Юрійович,Чоловіча,1956-10-11,Круп'є,хутір Подільськ,"площа Лиманчик 2-й Лінія 1-ша, буд. 8 кв. 064, Теребовля, 47932",+380 15 657-46-26,atamaniukadam@example.org
Дубенко,Опанас,Дмитрович,Чоловіча,1941-04-14,Няня,місто Сарни,"вулиця Різовська, буд. 921, Молочанськ, 47693",021 423-27-79,iosyp63@example.org
Носенко,Ярема,Андрійович,Чоловіча,1997-01-15,Історик,селище Пустомити,"сквер Вапняний 2-й, буд. 39, Очаків, 37389",+380 (18) 111-22-58,amakohon@example.net
Гаєвський,Олександр,Дмитрович,Чоловіча,1990-06-01,Філолог,селище Южноукраїнськ,"вулиця Амундсена, 2-й, буд. 154 кв. 7, Монастириська, 64765",668-65-78,zabarnyiadam@example.org
Демʼянчук,Антон,Олександрович,Чоловіча,1941-11-01,Прокурор,селище Жашків,"сквер Світлий, буд. 264, Виноградів, 67083",+380 (07) 368-35-29,okseniiamykhailychenko@example.org
Козаченко,Охрім,Іванович,Чоловіча,1971-10-11,Електромонтажник,село Чистякове,"вулиця Госпітальний, буд. 555, Ямпіль, 72520",038 390-95-83,babkomarusia@example.net
Романенко,Орест,Богданович,Чоловіча,1965-11-11,Нотаріус,хутір Щастя,"площа Лиманчик 2-й Лінія 8-ма, буд. 442 кв. 04, Малин, 32759",+380 88 468 37 59,zakhar45@example.com
Салій,Альберт,Сергійович,Чоловіча,2005-12-13,Парфюмер,село Чигирин,"шосе Прохоровський, буд. 31 кв. 41, Городенка, 96119",075 807-27-92,paliieduard@example.org
Сич,Арсен,Петрович,Чоловіча,2003-08-09,Кушнір,місто Шумськ,"шосе 16-та Лінія 6-й ст. Люстдорфської дороги, буд. 744 кв. 691, Бориспіль, 75908",494 68 79,kamilla40@example.net
Михалюк,Венедикт,Михайлович,Чоловіча,1952-06-06,Музикант,село Семенівка,"площа Польська, буд. 62, Ланівці, 45908",+380 41 465-02-37,liza19@example.net
Гайда,Веніямин,Олександрович,Чоловіча,2001-08-21,Зоолог,село Борислав,"вулиця Моторний 3-й, буд. 1, Сміла, 04584",174 28 10,ushovkoplias@example.com
Данькевич,Олег,Іванович,Чоловіча,2005-04-07,Няня,хутір Броди,"вулиця Флотська, буд. 882, Тульчин, 81589",+380 (78) 931-88-97,arsen95@example.org
Ґалаґан,Венедикт,Дмитрович,Чоловіча,1994-08-03,Модель,місто Дрогобич,"шосе Студентський 4-й, буд. 0, Хорол, 34463",+380 66 602 81 67,iosypprokopovych@example.org
Авдєєнко,Віктор,Дмитрович,Чоловіча,1997-11-22,Випробувач,селище Канів,"узвіз Індійська, буд. 59 кв. 296, Кам'янка-Бузька, 42760",+380 93 329-33-01,lavrenkoarsen@example.net
Давиденко,Микита,Дмитрович,Чоловіча,2008-06-08,Зоолог,хутір Комарно,"шосе Мукачівський, буд. 6 кв. 857, Українськ, 28157",043-33-24,roksolanabezborodko@example.org
Шухевич,Нестор,Володимирович,Чоловіча,1941-11-24,Ґрунтознавець,селище Пологи,"провулок Шампанський, буд. 1 кв. 718, Ананьїв, 04234",040 695 73 81,artemhaievskyi@example.org
Сірко,Ілля,Сергійович,Чоловіча,2002-10-14,Продюсер,селище Саки,"шосе Героїв прикордонників, буд. 854 кв. 9, Хрустальний, 10162",049 977 64 87,mariana35@example.net
Байрак,Устим,Дмитрович,Чоловіча,1969-10-23,Секретар,місто Рахів,"набережна Отрадна, буд. 5 кв. 4, Пирятин, 14092",978-09-35,anastasiia87@example.net
Ващук,Віктор,Володимирович,Чоловіча,1971-12-23,Хімік,селище Носівка,"шосе Аеропортівський 2-й, буд. 5 кв. 158, Білозерське, 42311",062 849-73-67,oierchenko@example.org
Артюшенко,Богуслав,Михайлович,Чоловіча,1964-04-26,Медик,селище Новодністровськ,"узвіз Бучми, буд. 982 кв. 3, Ковель, 07285",+380 98 484 53 80,tudovychenko@example.org
Андрусенко,Марко,Сергійович,Чоловіча,1989-09-12,Співак,село Покровськ,"провулок Успенський, буд. 3 кв. 5, Помічна, 47566",023 335 82 81,lzhaivoron@example.org
Захаренко,Альберт,Михайлович,Чоловіча,1994-12-26,Бухгалтер,селище Зміїв,"парк Аркадійська, буд. 4 кв. 174, Зоринськ, 79580",+380 38 882 55 08,shcherbakvasyl@example.com
Андрійчук,Хома,Юрійович,Чоловіча,1994-07-01,Філолог,селище Гнівань,"парк Михайла Слабченка, буд. 7, Семенівка, 88868",724-92-06,oksana13@example.org
Товстуха,Артем,Володимирович,Чоловіча,1943-02-25,Ветеринар,хутір Камінь-Каширський,"узвіз Лінія 24-та, буд. 60, Батурин, 39902",080 670 67 95,yostapchuk@example.org
Данько,Аарон,Петрович,Чоловіча,1996-01-15,Бізнесмен,хутір Шостка,"парк Набережна, буд. 2 кв. 639, Городище, 83251",+380 12 446-35-83,viktoriiaaleksiuk@example.net
Кащенко,Варфоломій,Іванович,Чоловіча,1981-10-15,Стропальник,місто Охтирка,"провулок Грушева, буд. 747 кв. 95, Павлоград, 44928",740 49 37,danylenkookseniia@example.net
Онуфрієнко,Демид,Михайлович,Чоловіча,1961-11-04,Машиніст,хутір Бровари,"сквер Цебриківська, буд. 914 кв. 5, Зіньків, 10542",088 241 25 83,zorian21@example.net
Юхименко,Соломон,Дмитрович,Чоловіча,1964-07-02,Громадський діяч,місто Путивль,"сквер Мирослава Скорика, буд. 28, Благовіщенське, 71756",369-47-93,milena82@example.org
Приймак,Василь,Іванович,Чоловіча,1999-04-16,Льотчик,хутір Славута,"шосе Кордонний, буд. 999, Суходільськ, 63690",042 641 71 02,rakborys@example.net
Комар,Євген,Михайлович,Чоловіча,1981-01-08,Сантехнік,село Лутугине,"вулиця Марсельська, буд. 6, Ржищів, 97193",+380 99 849 33 97,pavlenkosviatoslav@example.org
Василенко,Марко,Михайлович,Чоловіча,1980-12-06,Зоолог,хутір Балаклія,"площа Софії Перовської, буд. 31, Старий Крим, 40686",+380 81 925 01 24,albinakhudobiak@example.com
Верес,Богуслав,Олександрович,Чоловіча,1942-02-28,Підприємець,селище Рогатин,"проспект Кишинівська, буд. 594 кв. 6, Старокостянтинів, 03342",504 33 02,izhakmilena@example.org
Палій,Хома,Сергійович,Чоловіча,1962-01-08,Ґрунтознавець,село Корсунь-Шевченківський,"вулиця Болградська, буд. 429 кв. 866, Володимир-Волинський, 44141",+380 20 576-05-03,liubov28@example.com
Юрчук,Георгій,Петрович,Чоловіча,1985-09-18,Ювелір,місто Зимогір'я,"площа Лінійна, буд. 9 кв. 6, Ровеньки, 57367",+380 76 107-21-31,revaprokhir@example.com
Гавриш,Остап,Сергійович,Чоловіча,2004-06-07,Нотаріус,село Хутір-Михайлівський,"проспект Привозна, буд. 86, Южноукраїнськ, 51855",+380 11 100-08-07,yvdovenko@example.org
Василевич,Тимофій,Богданович,Чоловіча,1972-09-25,Вчитель,село Білгород-Дністровський,"проспект Місячна, буд. 9, Снятин, 51750",358-77-32,vitrukoksana@example.org
Деркач,Тимофій,Юрійович,Чоловіча,1942-07-17,Астроном,село Нова Одеса,"площа Балтський 6-й, буд. 83, Устилуг, 24431",004 964 91 66,pylyptovstolis@example.net
Данчук,Болеслав,Юрійович,Чоловіча,1998-11-10,Прокурор,село Нетішин,"вулиця Лиманчик 2-й Лінія 9-та, буд. 7, Ковель, 09904",396 20 09,rmakohon@example.org
Баштан,Устим,Андрійович,Чоловіча,1997-09-09,Няня,селище Полонне,"узвіз Мусіна, буд. 8, Тернопіль, 81814",029 504 87 14,zynovii18@example.net
Бабариченко,Степан,Олександрович,Чоловіча,1970-10-07,Футболіст,село Мала Виска,"сквер 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 378, Бережани, 56358",+380 (09) 895-73-72,oleksa06@example.com
Забарний,Вадим,Андрійович,Чоловіча,1942-01-18,Головний меркшейдер,місто Суходільськ,"парк Лінія 44-та, буд. 17 кв. 34, Могилів-Подільський, 79084",+380 (04) 595-78-69,ualeksiichuk@example.net
Ісаєнко,Нестор,Дмитрович,Чоловіча,1962-11-08,Бібліотекар,місто Приморськ,"узвіз Заньковецької, буд. 31 кв. 5, Іловайськ, 11685",365-13-68,nazartychyna@example.net
Овчаренко,Дан,Іванович,Чоловіча,1996-12-26,Пекар,місто Скалат,"набережна Мала Садова, буд. 77 кв. 98, Самбір, 60452",507-49-86,amaliiaromanets@example.com
Худобʼяк,Феофан,Володимирович,Чоловіча,1991-08-29,Гицель,хутір Татарбунари,"вулиця Депутатський, буд. 98 кв. 11, Вугледар, 93905",943-99-91,mykhailyna92@example.net
Онуфрієнко,Нестор,Іванович,Чоловіча,1999-07-24,Акушер,село Соледар,"парк Академіка Ясиновського, буд. 559 кв. 419, Любомль, 77669",+380 75 570-81-80,zokhrimenko@example.org
Талан,Олесь,Олександрович,Чоловіча,1970-08-13,Державний службовець,хутір Олевськ,"провулок Мазепи Івана, буд. 82 кв. 78, Кобеляки, 61245",094 746-81-75,yhunko@example.com
Рябченко,Богдан,Юрійович,Чоловіча,1963-09-07,Льотчик,селище Яворів,"сквер Андросовський, буд. 1 кв. 2, Василівка, 63860",+380 (20) 709-70-09,anita91@example.com
Дрозденко,Прохір,Олександрович,Чоловіча,1962-03-08,Кінокритик,селище Кальміуське,"парк Карантинний узвіз, буд. 92, Камінь-Каширський, 21233",697-19-16,rostyslavshmorhun@example.com
Андрощук,Ігор,Богданович,Чоловіча,1962-07-04,Агроном,хутір Бориспіль,"шосе Регенсбург, буд. 599 кв. 34, Гірське, 92424",028 471 35 78,kyrylo93@example.com
Тимченко,Орхип,Богданович,Чоловіча,1981-02-03,Піаніст,хутір Старобільськ,"парк Родоканакі, буд. 12, Конотоп, 33978",058 031 68 56,chumakbohdan@example.org
Яценко,Єлисей,Іванович,Чоловіча,2003-04-19,Астроном,місто Сокаль,"вулиця Аеродромна, буд. 18 кв. 41, Гола Пристань, 83047",+380 (26) 597-17-18,solomiia16@example.org
Цюцюра,Зорян,Юрійович,Чоловіча,1950-10-25,Літературознавець,село Рубіжне,"площа Зелений, буд. 1, Кропивницький, 77931",315 98 35,perepelytsiaviktor@example.org
Оніщук,Андрій,Петрович,Чоловіча,1948-05-07,Прокурор,хутір Кривий Ріг,"сквер Всеволода Змієнка, буд. 7, Ромни, 08429",+380 77 188-86-22,tsarenkomykhailo@example.net
Якимчук,Леонід,Сергійович,Чоловіча,1977-06-23,Шериф,село Ровеньки,"шосе Рибальська балка, буд. 870, Лисичанськ, 31154",029 592-39-95,maksym45@example.com
Самойленко,Богдан,Володимирович,Чоловіча,1951-02-20,Журналіст,село Івано-Франківськ,"набережна Просвіти, буд. 8 кв. 756, Дунаївці, 23758",+380 99 445 33 87,daryna99@example.com
Луценко,Іван,Володимирович,Чоловіча,1960-02-02,Електромонтер,місто Умань,"набережна Західний 1-й, буд. 00 кв. 61, Почаїв, 89258",+380 (97) 131-72-27,anita61@example.com
Смик,Григорій,Богданович,Чоловіча,1974-08-28,Головний меркшейдер,місто Дніпро,"вулиця Різовська, буд. 256 кв. 37, Суходільськ, 02416",093 173 20 47,ivashchenkozlatoslava@example.net
Москаль,Аарон,Сергійович,Чоловіча,1974-04-05,Клавішник,село Отаманівка,"сквер Михайла Жука, буд. 14, Жовті Води, 17602",288-37-71,halynasavenko@example.net
Затовканюк,Прохір,Петрович,Чоловіча,1940-07-28,Історик,село Вараш,"провулок Змієнка Всеволода, буд. 44, Святогірськ, 03941",+380 (02) 210-25-11,ichumachenko@example.net
Микитюк,Михайло,Андрійович,Чоловіча,1949-10-12,Художник,місто Запоріжжя,"шосе Чорноморська, буд. 14, Тисмениця, 58594",360 95 62,parasiukanita@example.net
Матяш,Прохір,Олександрович,Чоловіча,1942-05-17,Швачка,хутір Бунге,"провулок Будівельний, буд. 63 кв. 8, Іллінці, 55537",+380 17 390 69 73,bohuslavazharko@example.com
Забіла,Марко,Іванович,Чоловіча,1976-02-10,Астроном,селище Гуляйполе,"провулок Верстатобудівна, буд. 6 кв. 275, Дніпрорудне, 15633",073 503-27-91,dannakozachenko@example.org
Дубина,Костянтин,Сергійович,Чоловіча,1988-05-02,Ґрунтознавець,місто Славутич,"сквер Євгена Крамаренка, буд. 00, Вільногірськ, 63101",308-11-04,orysia16@example.org
Гречаник,Симон,Олександрович,Чоловіча,1957-03-08,Літературознавець,село Великі Мости,"парк Контрадмірала Остроградського, буд. 81 кв. 92, Корюківка, 81838",+380 30 453 94 84,iakovenkoliubov@example.com
Гузь,Олесь,Петрович,Чоловіча,1958-08-04,Намотувальник,місто Тернівка,"шосе Виноградний, буд. 59, Чорноморськ, 20562",+380 36 451 73 60,ustymzharko@example.org
Шухевич,Федір,Михайлович,Чоловіча,1991-04-06,Краєзнавець,селище Бережани,"шосе Астрономічна, буд. 67 кв. 3, Шаргород, 96077",082 155 48 34,danylenkonadiia@example.net
Деряжна,Віктор,Петрович,Чоловіча,2006-08-29,Режисер,селище Новомиргород,"набережна Будівельна, буд. 83 кв. 967, Дніпрорудне, 66236",+380 27 923-58-47,ydutka@example.net
Вобла,Валентин,Іванович,Чоловіча,1970-01-03,Соціолог,село Могилів-Подільський,"провулок Інглезі, буд. 3, Винники, 93025",+380 (46) 175-96-22,fadamchuk@example.com
Цюцюра,Євген,Олександрович,Чоловіча,1948-03-09,Детектив,село Переяслав,"площа Олександра Кутузакія, буд. 39, Сватове, 57975",022 165-93-87,iaroslav51@example.org
Девдюк,Франц,Богданович,Чоловіча,1998-01-20,Мінералог,селище Соснівка,"узвіз Лиманчик 2-й Лінія 4-та, буд. 49 кв. 624, Львів, 96694",032 41 53,dutkadanylo@example.net
Яременко,Станіслав,Богданович,Чоловіча,1952-05-21,Гірник,село Добропілля,"вулиця Олександра Кошиця, буд. 051 кв. 4, Мена, 22612",+380 04 748-08-91,iakiv04@example.org
Вернидуб,Ростислав,Іванович,Чоловіча,1971-06-14,Кінокритик,селище Хоростків,"площа Житомирська, буд. 98 кв. 836, Південне, 39713",+380 36 639-21-16,vdovenkoiryna@example.org
Рева,Альберт,Олександрович,Чоловіча,1956-06-11,Графік,селище Славута,"парк Вапняне селище, буд. 1, Сіверськ, 10203",240 40 81,dupliisolomiia@example.com
Іщак,Валентин,Петрович,Чоловіча,1970-07-14,Гірник,селище Одеса,"площа Бєлякова, буд. 1, Рогатин, 36638",037-59-76,liudmyla37@example.net
Медведенко,Станіслав,Володимирович,Чоловіча,1964-07-18,Ді-джей,село Вашківці,"шосе Композитора Вербицького, буд. 26 кв. 171, Перечин, 09835",002 078-19-70,ohaida@example.org
Гоголь-Яновська,Едуард,Сергійович,Чоловіча,1994-02-01,Ґрунтознавець,місто Шепетівка,"вулиця Перша, буд. 8 кв. 726, Малин, 37072",797-36-38,telizhenkodavyd@example.com
Єресько,Веніямин,Андрійович,Чоловіча,1950-02-14,Правник,село Чорноморськ,"провулок Учительський, буд. 3 кв. 7, Новоселиця, 61246",615 98 50,iereskoiefrem@example.com
Артюшенко,Лесь,Юрійович,Чоловіча,1949-02-21,Державний службовець,хутір Білопілля,"вулиця 3-тя Лінія 6-й ст. Люстдорфської дороги, буд. 6 кв. 4, Кальміуське, 13181",751-52-58,ookhrimenko@example.com
Шаблій,Назар,Андрійович,Чоловіча,1970-09-03,Геолог,селище Бар,"узвіз Кримський, буд. 4, Жовті Води, 55374",+380 04 254 07 24,vanchenkoiryna@example.org
Філіпенко,Яків,Сергійович,Чоловіча,1977-04-18,Професор,місто Буськ,"шосе Проїзний 2-й, буд. 856 кв. 75, Щастя, 02012",012 323-28-04,iefrem53@example.com
Дрозденко,Йосип,Іванович,Чоловіча,1948-07-01,Вчитель,хутір Молочанськ,"вулиця Ганса Германа, буд. 27 кв. 25, Біла Церква, 26572",028 857-18-66,kashchenkoruslan@example.net
Чуприна,Павло,Юрійович,Чоловіча,1995-12-17,Паблік рилейшнз,місто Дубляни,"сквер Деревообробна, буд. 29, Радивилів, 31419",+380 08 606-14-87,vira37@example.com
Міщенко,Опанас,Дмитрович,Чоловіча,1986-04-11,Науковець,хутір Гірське,"сквер Літня, буд. 438 кв. 53, Ромни, 88108",392 68 26,chornovilliliia@example.net
Овсієнко,Охрім,Дмитрович,Чоловіча,1957-04-12,Піаніст,хутір Остер,"площа Спортивна, буд. 78 кв. 238, Радехів, 35708",063 236 33 25,frantsiefymenko@example.net
Верхола,Леон,Іванович,Чоловіча,1963-06-16,Музичний редактор,село Знам'янка,"парк Овідіопольська дорога, буд. 62, Сквира, 30059",071 632-84-69,valerii05@example.org
Артюшенко,Олександр,Михайлович,Чоловіча,1947-07-01,Прокурор,хутір Сіверськ,"провулок Мирна, буд. 84 кв. 57, Ківерці, 02753",073 996-98-76,ruslan65@example.com
Ґалаґан,Максим,Петрович,Чоловіча,1963-12-12,Дерун,хутір Васильків,"набережна Марка Крейна, буд. 599 кв. 64, Павлоград, 96865",343 85 79,priska87@example.net
Лаба,Єфрем,Богданович,Чоловіча,1980-05-13,Архітектор,селище Острог,"узвіз Кузнечна, буд. 8, Шостка, 91987",+380 (39) 838-22-44,qokhrimenko@example.net
Корпанюк,Олег,Андрійович,Чоловіча,1947-08-20,Медик,селище Бершадь,"вулиця Рєпіна, буд. 627, Турка, 44484",088 328-67-09,moskalaaron@example.com
Дейнека,Венедикт,Андрійович,Чоловіча,1946-09-26,Золотар,хутір Теребовля,"узвіз Гілельса, буд. 4, Волочиськ, 71668",+380 46 314-33-99,martynvernydub@example.org
Бабич,Теодор,Володимирович,Чоловіча,1989-10-02,Маркетолог,місто Миргород,"площа Святослава Ріхтера, буд. 651, Гнівань, 66154",063 242 37 84,ygerega@example.com
Павленко,Роман,Богданович,Чоловіча,1977-02-24,Провізор,хутір Біляївка,"сквер Бориса Літвака, буд. 99 кв. 53, Кіцмань, 26127",+380 59 881 20 58,albertkashchenko@example.net
Царенко,Андрій,Олександрович,Чоловіча,1995-01-11,Льотчик,місто Зборів,"провулок Зарічна, буд. 862 кв. 49, Горохів, 41282",+380 28 718-94-09,mhavryshkevych@example.com
Зінчук,Вʼячеслав,Іванович,Чоловіча,1973-05-14,Диригент,місто Шептицький,"сквер Андрія Сови, буд. 9 кв. 672, Нетішин, 94788",+380 91 650 23 32,onyshchenkokhrystyna@example.net
Іщак,Лукʼян,Олександрович,Чоловіча,1996-11-04,Водій,місто Снігурівка,"узвіз Львівська, буд. 575, Очаків, 34160",+380 (34) 501-76-74,svitlanafareniuk@example.com
Зайченко,Богдан,Михайлович,Чоловіча,1969-01-14,Геолог,хутір Обухів,"площа Італійський, буд. 3, Новоселиця, 10177",+380 91 986-01-02,skopenkoostap@example.com
Барабаш,Микита,Іванович,Чоловіча,1977-02-13,Паблік рилейшнз,село Вугледар,"площа Лазурний 2-й, буд. 831, Дебальцеве, 34899",+380 98 757-33-63,abramenkoustym@example.org
Єременко,Борислав,Володимирович,Чоловіча,1981-09-08,Модель,хутір Деражня,"площа Лузанівка, буд. 6 кв. 4, Берислав, 23013",055 727-47-73,ada70@example.org
Онуфрієнко,Богдан,Богданович,Чоловіча,1993-10-10,Біолог,село Кремінна,"сквер Іванівська, буд. 78 кв. 00, Снігурівка, 72734",+380 52 105-97-39,panteleimon28@example.net
Дурдинець,Едуард,Михайлович,Чоловіча,2001-12-18,Ріелтор,хутір Тернопіль,"провулок Водний, буд. 187 кв. 83, Нова Каховка, 03973",+380 (82) 753-57-28,tymchenkohennadii@example.com
Приходько,Георгій,Олександрович,Чоловіча,1989-06-20,Намотувальник,село Берестин,"парк Василя Берладяну, буд. 4, Хрустальний, 87657",914 64 42,danylodemianenko@example.com
Єрмоленко,Станіслав,Володимирович,Чоловіча,1984-07-04,Скульптор,місто Харцизьк,"вулиця Лінія 41-ша, буд. 957 кв. 3, Ківерці, 01685",+380 95 044-38-84,valenkovira@example.org
Ісаєвич,Алевтин,Юрійович,Чоловіча,1998-12-04,Живописець,село Зугрес,"площа Мирослава Скорика, буд. 6, Тиврів, 51297",056 529 67 48,smamchur@example.com
